task,condition,plan_valid,alignment,score,executable,collapse,error,run
prime,hierarchical,True,0.7469,1.0,True,False,,8
prime,oracle,True,0.739,1.0,True,False,,8
factorial,direct,False,0.0,1.0,True,False,,8
factorial,hierarchical,False,0.7769,1.0,True,False,,8
factorial,oracle,False,0.7769,1.0,True,False,,8
fibonacci,direct,False,0.0,1.0,True,False,,8
fibonacci,hierarchical,False,0.5016,0.0,True,False,,8
fibonacci,oracle,False,0.5287,1.0,True,False,,8
gcd,direct,False,0.0,1.0,True,False,,8
gcd,hierarchical,True,0.6573,0.6667,True,False,,8
gcd,oracle,True,0.6791,1.0,True,False,,8
palindrome,direct,False,0.0,1.0,True,False,,8
palindrome,hierarchical,False,0.4667,1.0,True,False,,8
palindrome,oracle,False,0.4294,1.0,True,False,,8
reverse,direct,False,0.0,1.0,True,False,,8
reverse,hierarchical,True,0.7733,1.0,True,False,,8
reverse,oracle,True,0.7733,1.0,True,False,,8
is_even,direct,False,0.0,1.0,True,False,,8
is_even,hierarchical,False,0.8276,1.0,True,False,,8
is_even,oracle,False,0.8094,1.0,True,False,,8
max_two,direct,False,0.0,1.0,True,False,,8
max_two,hierarchical,False,0.6756,1.0,True,False,,8
max_two,oracle,False,0.6962,1.0,True,False,,8
sum_list,direct,False,0.0,1.0,True,False,,8
sum_list,hierarchical,True,0.7463,1.0,True,False,,8
sum_list,oracle,True,0.7463,1.0,True,False,,8
count_vowels,direct,False,0.0,1.0,True,False,,8
count_vowels,hierarchical,True,0.8459,1.0,True,False,,8
count_vowels,oracle,True,0.8445,1.0,True,False,,8
prime,direct,False,0.0,1.0,True,False,,9
prime,hierarchical,True,0.7469,1.0,True,False,,9
prime,oracle,True,0.739,1.0,True,False,,9
factorial,direct,False,0.0,1.0,True,False,,9
factorial,hierarchical,False,0.7769,1.0,True,False,,9
factorial,oracle,False,0.7769,1.0,True,False,,9
fibonacci,direct,False,0.0,1.0,True,False,,9
fibonacci,hierarchical,False,0.5016,0.0,True,False,,9
fibonacci,oracle,False,0.5287,1.0,True,False,,9
gcd,direct,False,0.0,1.0,True,False,,9
gcd,hierarchical,True,0.6573,0.6667,True,False,,9
gcd,oracle,True,0.6791,1.0,True,False,,9
palindrome,direct,False,0.0,1.0,True,False,,9
palindrome,hierarchical,False,0.4667,1.0,True,False,,9
palindrome,oracle,False,0.4294,1.0,True,False,,9
reverse,direct,False,0.0,1.0,True,False,,9
reverse,hierarchical,True,0.7733,1.0,True,False,,9
reverse,oracle,True,0.7733,1.0,True,False,,9
is_even,direct,False,0.0,1.0,True,False,,9
is_even,hierarchical,False,0.8276,1.0,True,False,,9
is_even,oracle,False,0.8094,1.0,True,False,,9
max_two,direct,False,0.0,1.0,True,False,,9
max_two,hierarchical,False,0.6756,1.0,True,False,,9
max_two,oracle,False,0.6962,1.0,True,False,,9
sum_list,direct,False,0.0,1.0,True,False,,9
sum_list,hierarchical,True,0.7463,1.0,True,False,,9
sum_list,oracle,True,0.7463,1.0,True,False,,9
count_vowels,direct,False,0.0,1.0,True,False,,9
count_vowels,hierarchical,True,0.8459,1.0,True,False,,9
count_vowels,oracle,True,0.8445,1.0,True,False,,9
